run_accession,study_accession,experiment_accession,experiment_title,experiment_desc,organism_taxid,organism_name,library_strategy,library_source,library_selection,library_layout,sample_accession,sample_title,instrument,total_spots,total_size,run_total_spots,run_total_bases,run_alias,sra_url_alt,sra_url,experiment_alias,Alias,ENA checklist,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,SRA accession,Sample Name,Title,collection date,environment (biome),environment (feature),environment (material),geographic location (country and/or sea),geographic location (latitude),geographic location (longitude),human gut environmental package,investigation type,project name,sequencing method,ena_fastq_http,ena_fastq_http_1,ena_fastq_http_2,ena_fastq_ftp,ena_fastq_ftp_1,ena_fastq_ftp_2
ERR1995317,ERP022986,ERX2055186,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726323,,Illumina HiSeq 2000,948974,81972780,948974,82609797,ena-RUN-BGI-01-06-2017-09:26:47:677-47,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995317/ERAS7_Dag4opt_wHAXPI002166-84.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995317/ERR1995317.1,,ERAS7_Dag4opt,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726323,ERS1726323,ERAS7_Dag4opt,2012-06-18,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/007/ERR1995317/ERR1995317.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/007/ERR1995317/ERR1995317.fastq.gz,
ERR1995316,ERP022986,ERX2055185,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726322,,Illumina HiSeq 2000,1336144,115647317,1336144,110616721,ena-RUN-BGI-01-06-2017-09:26:47:677-46,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995316/ERAS7_Dag42_wHAXPI002168-86.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995316/ERR1995316.1,,ERAS7_Dag42,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726322,ERS1726322,ERAS7_Dag42,2012-07-25,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/006/ERR1995316/ERR1995316.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/006/ERR1995316/ERR1995316.fastq.gz,
ERR1995315,ERP022986,ERX2055184,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726321,,Illumina HiSeq 2000,1529801,133085827,1529801,128188791,ena-RUN-BGI-01-06-2017-09:26:47:677-45,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995315/ERAS7_Dag180_wHAXPI002169-87.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995315/ERR1995315.1,,ERAS7_Dag180,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726321,ERS1726321,ERAS7_Dag180,2012-12-18,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/005/ERR1995315/ERR1995315.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/005/ERR1995315/ERR1995315.fastq.gz,
ERR1995314,ERP022986,ERX2055183,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726320,,Illumina HiSeq 2000,1572986,134573295,1572986,128350916,ena-RUN-BGI-01-06-2017-09:26:47:677-44,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995314/ERAS7_Dag0_wHAXPI002165-83.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995314/ERR1995314.1,,ERAS7_Dag0,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726320,ERS1726320,ERAS7_Dag0,2012-06-14,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/004/ERR1995314/ERR1995314.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/004/ERR1995314/ERR1995314.fastq.gz,
ERR1995313,ERP022986,ERX2055182,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726319,,Illumina HiSeq 2000,713125,61039006,713125,59734962,ena-RUN-BGI-01-06-2017-09:26:47:677-43,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995313/ERAS6_Dag8opt_wHAXPI002162-79.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995313/ERR1995313.1,,ERAS6_Dag8opt,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726319,ERS1726319,ERAS6_Dag8opt,2012-06-23,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/003/ERR1995313/ERR1995313.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/003/ERR1995313/ERR1995313.fastq.gz,
ERR1995312,ERP022986,ERX2055181,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726318,,Illumina HiSeq 2000,540909,45921391,540909,44121615,ena-RUN-BGI-01-06-2017-09:26:47:677-42,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995312/ERAS6_Dag4opt_wHAXPI002161-78.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995312/ERR1995312.1,,ERAS6_Dag4opt,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726318,ERS1726318,ERAS6_Dag4opt,2012-06-19,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/002/ERR1995312/ERR1995312.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/002/ERR1995312/ERR1995312.fastq.gz,
ERR1995311,ERP022986,ERX2055180,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726317,,Illumina HiSeq 2000,817493,69718966,817493,67096180,ena-RUN-BGI-01-06-2017-09:26:47:677-41,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995311/ERAS6_Dag42_wHAXPI002163-80.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995311/ERR1995311.1,,ERAS6_Dag42,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726317,ERS1726317,ERAS6_Dag42,2012-07-12,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/001/ERR1995311/ERR1995311.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/001/ERR1995311/ERR1995311.fastq.gz,
ERR1995310,ERP022986,ERX2055179,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726316,,Illumina HiSeq 2000,931874,80457645,931874,77639894,ena-RUN-BGI-01-06-2017-09:26:47:677-40,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995310/ERAS6_Dag180_wHAXPI002164-81.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995310/ERR1995310.1,,ERAS6_Dag180,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726316,ERS1726316,ERAS6_Dag180,2013-03-06,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/000/ERR1995310/ERR1995310.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/000/ERR1995310/ERR1995310.fastq.gz,
ERR1995309,ERP022986,ERX2055178,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726315,,Illumina HiSeq 2000,584194,50164647,584194,47321996,ena-RUN-BGI-01-06-2017-09:26:47:677-39,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995309/ERAS6_Dag0_wHAXPI002160-77.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995309/ERR1995309.1,,ERAS6_Dag0,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726315,ERS1726315,ERAS6_Dag0,2012-06-15,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/009/ERR1995309/ERR1995309.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/009/ERR1995309/ERR1995309.fastq.gz,
ERR1995308,ERP022986,ERX2055177,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726314,,Illumina HiSeq 2000,958674,82710159,958674,77673608,ena-RUN-BGI-01-06-2017-09:26:47:677-38,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995308/ERAS5_Dag8_wHAXPI002157-74.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995308/ERR1995308.1,,ERAS5_Dag8,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726314,ERS1726314,ERAS5_Dag8,2012-06-12,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/008/ERR1995308/ERR1995308.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/008/ERR1995308/ERR1995308.fastq.gz,
ERR1995307,ERP022986,ERX2055176,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726312,,Illumina HiSeq 2000,1316207,112950098,1316207,107511131,ena-RUN-BGI-01-06-2017-09:26:47:677-37,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995307/ERAS5_Dag4_wHAXPI002156-73.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995307/ERR1995307.1,,ERAS5_Dag4,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726312,ERS1726312,ERAS5_Dag4,2012-06-08,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/007/ERR1995307/ERR1995307.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/007/ERR1995307/ERR1995307.fastq.gz,
ERR1995306,ERP022986,ERX2055175,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726313,,Illumina HiSeq 2000,880643,75696005,880643,70708660,ena-RUN-BGI-01-06-2017-09:26:47:677-36,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995306/ERAS5_Dag42_wHAXPI002158-75.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995306/ERR1995306.1,,ERAS5_Dag42,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726313,ERS1726313,ERAS5_Dag42,2012-07-13,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/006/ERR1995306/ERR1995306.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/006/ERR1995306/ERR1995306.fastq.gz,
ERR1995305,ERP022986,ERX2055174,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726311,,Illumina HiSeq 2000,891251,76391879,891251,70647223,ena-RUN-BGI-01-06-2017-09:26:47:677-35,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995305/ERAS5_Dag180_wHAXPI002159-76.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995305/ERR1995305.1,,ERAS5_Dag180,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726311,ERS1726311,ERAS5_Dag180,2012-12-05,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/005/ERR1995305/ERR1995305.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/005/ERR1995305/ERR1995305.fastq.gz,
ERR1995304,ERP022986,ERX2055173,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726310,,Illumina HiSeq 2000,919593,78974674,919593,74072837,ena-RUN-BGI-01-06-2017-09:26:47:677-34,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995304/ERAS5_Dag0_wHAXPI002155-72.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995304/ERR1995304.1,,ERAS5_Dag0,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726310,ERS1726310,ERAS5_Dag0,2012-06-04,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/004/ERR1995304/ERR1995304.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/004/ERR1995304/ERR1995304.fastq.gz,
