Species	alien-11-0-0	alien-11-2-0	alien-11-7-0	alien-12-7-0	alien-13-7-0	alien-11-60-0	alien-11-376-0	alien-11-377-0	alien-11-378-0	alien-11-380-0	alien-11-392-1	alien-11-392-2	alien-11-392-3	alien-13-392-1	alien-13-392-2	alien-13-392-3	alien-11-600-0	alien-11-630-0	alien-11-632-0	alien-11-637-0	alien-11-773-0	bugkiller-11-0-0	bugkiller-11-2-0	bugkiller-11-7-0	bugkiller-12-7-0	bugkiller-13-7-0	bugkiller-11-60-0	bugkiller-11-392-1	bugkiller-11-392-2	bugkiller-11-392-3	bugkiller-13-392-1	bugkiller-13-392-2	bugkiller-13-392-3	bugkiller-11-600-0	bugkiller-11-773-0	peacemaker-11-0-0	peacemaker-11-2-0	peacemaker-11-7-0	peacemaker-12-7-0	peacemaker-13-7-0	peacemaker-11-60-0	peacemaker-11-392-1	peacemaker-11-392-2	peacemaker-11-392-3	peacemaker-13-392-1	peacemaker-13-392-2	peacemaker-13-392-3	peacemaker-11-600-0	peacemaker-11-773-0	scavenger-11-0-0	scavenger-11-2-0	scavenger-11-7-0	scavenger-12-7-0	scavenger-13-7-0	scavenger-11-60-0	scavenger-11-392-0	halbarad-11-0-0	halbarad-11-2-0	halbarad-11-7-0	halbarad-12-7-0	halbarad-13-7-0	halbarad-11-392-0	tigress-11-0-0	tigress-11-2-0	tigress-11-7-0	tigress-11-60-0	daisy-11-0-0	daisy-11-2-0	daisy-11-7-0	daisy-11-60-0
Alistipes sp. HGB5	0.0130159976218388	0.00884029344408686	0.0218837097701056	0.0182202302926004	0.0205947967443133	0.00277065982651372	0	0	0	0	0	0	0	6.68788147596321e-05	0	0	0	0	0	0	0	0	0.000224983943910229	5.59004743437574e-05	0	0	0	0	0	0	0	4.6774812000649e-05	0.000269660384633572	0.000367158844846559	0	0	0	0	0.00019601029271826	0	0	0	0	0	5.91998947891088e-05	0	0	0	0	0.00106043659214309	0.000287638745964607	0.0011681678434204	0.00142213864063967	0.00146050457450073	0.000120853214170274	0.000489063535029831	0.00275513453189284	0.00292118201225169	0.00159567613473308	0.00127787318629904	0.0016107239997876	0	0	0	0	0	0.000437753355479072	0	0	0
Alloprevotella tannerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118827902462924	0
Anaerococcus vaginalis	0	0	0	0	0	0	0	0	0	0	0	0.000129063943283619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerofustis stercorihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.85796240401572e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerostipes caccae	0	0	0	0	0	0	0	0	0	0	0.000300843966057367	0.000309753463880686	0.000264399286289376	0.000151591980121833	0.000219154902748958	0.000172155412299995	0	0	0	6.05788350964058e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.43075178539235e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerostipes hadrus	0.00418984620016975	0.00438729674640479	0.00103327455647936	0.000301226591024962	0.000296349330805285	0.0057050404609578	0.000291937536720268	0	0.000140946063457637	0.00011091787086498	0	0.000172085257711492	0.000201971677026606	5.35030518077057e-05	0.000121752723749421	0	0.00564707575747115	0.00334421663457906	0.0129114472891619	0.00979559763508882	0.002132797429553	0.00855392539598242	0.000653096248607979	0.0222297552973675	0.00815348528657186	0.0148733224370691	0.0121661291978793	0.0298455790834	0.0148046714282025	0.0291704616596754	0.00881972096813086	0.00639411680048872	0.0203593590398347	0.00429575848470474	0.0176195163508043	0.0185081748980554	0.0291106815798918	0.00478715135136162	0.000966050728397137	0.000442043199254428	0.00573233947386988	0.00466726418839321	0.00644470278775691	0.00902010443189691	0.00137343755910732	0.00161172105306489	0.00334997405950576	0.00588263708593902	0.00502892508058246	0.00178750239933102	0.0121095912051099	0.00446358296590987	0.000237866605373896	0.00040761844364686	0.00932938472108845	0.00608517303460867	0.00172129294739147	0.00336136012368688	0.000746848416444619	0.000868091067485843	0.00106791591194709	0.0121143400726647	0.010073589698463	0.0117995369529632	0.017481723217871	0.0204944024549639	0.012713608166985	0.0193666931112898	0.020034384355249	0.0178125263744292
Anaerotruncus colihominis	0	0	4.02052356606754e-05	0	0	6.29695415116755e-05	0	0	0	0	0.00420856315760251	0.00369639133564286	0.00236490472736608	0.00365960874364707	0.00382607934382555	0.00402578810301526	0.000142264801240382	0.000372355366411029	0	0.000190390624588704	0.000870279410909559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.32992797640185e-05	0	5.41344533469912e-05	8.40044111649685e-05	9.04179271202239e-05	5.84783419930618e-05	6.74460142831388e-05	0.000247873184144496	0.000244050444585955	8.28798527047523e-05	0.000154973178179316	0.000214741926891395	7.40886282863856e-05	0	9.52487957014755e-05	0	4.54540016895098e-05	0.000151829748110997	0	0	0	9.13556628425369e-05	0.000186742229093715	0.000269945210763115	0.000148276424570563	0.000165202461516677	0	5.6593200553163e-05	0	7.83231326965546e-05	8.0821857261023e-05	0.000187608580919602	0.000195228761202518	0.000118827902462924	9.37896291829677e-05
Atopobium parvulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05788350964058e-05	0	0	0	0	0	0	0.000143807673733798	0	0	0	0	0	0.000134830192316786	0	0	2.66496398820093e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.50317033463741e-05
Atopobium rimae	0	0	0	0	0	6.29695415116755e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99939123070128e-05	0	0	0.000102070751695538	0	0	0	0	0	0	0	0
Bacillus subtilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000179759592167248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides caccae	0.025108550088449	0.0163195434530716	0.018351456454895	0.0251609456314624	0.0253921984944995	0.00953638723115708	0	0	0	0	0	0	0.000212172266775425	0	0	0	0	0	0	0	0	0.0027501533978214	0.000174844664981664	0.00130434440135434	0.00123250358983063	0.000721684537767331	9.58717824891987e-05	0.000349377571944981	0.00495807452528392	0.000134055430421302	0.000204487912583737	0.00380279221565277	0.000299622649592858	0.000704944982105393	0.000369640203163726	0	0	2.49851323139959e-05	9.80051463591299e-05	0	0	0	0	0	0.000236799579156435	0	0	0.00262603026926189	0.000898022335818296	5.4427883257986e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides clarus	0	0	0	0	0	0	0	0	0	7.39452472433203e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00212454944991887	0.00136330251279473	0.000956677742776945	0.00234431583364871	0.00141542169403775	0.000992584906520226	0.00464535699355638	0.000359208934327318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides coprocola	0	0	0	6.82022470245197e-05	6.66785994311892e-05	0	0	0	0	0	0	0	0	0	0.000253651507811294	0	0	0	0	0	0.000130235475224142	0	5.14249014651952e-05	0	0.000101579966194832	5.95886315587704e-05	0	0	0	0.000134055430421302	7.0784277432832e-05	0.000116937030001623	0	0	8.2142267369717e-05	0.105239427894055	0.0850637840328722	0.0799199427327788	0.143429131623067	0.14715216245726	0.0979102879989834	0.105748605794533	0.0917626527702926	0.0520535193257384	0.114137397153402	0.0945233071441707	0.0559474300194381	0.0715547971989912	0.136185087226845	0	0	2.84087510559436e-05	5.06099160369991e-05	0	5.92180749434341e-05	0.000165058943072568	0	0	0	0	0	5.83261438260215e-05	0.000176067735054285	0	0	0.000117865208505659	0.109156925998389	0.197171287376483	0.221340733917688	0.119165351254711
Bacteroides coprophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51466516421476e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	5.60029407766456e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides dorei/vulgatus	0.194525629893455	0.152321687039072	0.179186694292498	0.226202982593873	0.242118885014572	0.0993785304137263	0.000340593792840313	0.000150694089801718	8.2218537016955e-05	0.000240322053540791	0	0.000206502309253791	0.000594230719185718	7.4904272530788e-05	0.000415066103691208	0	0.000400294097607741	6.9816631202068e-05	8.80125922914921e-05	0.000136302378966913	0.131231393564091	0.0434903568358929	0.0170344986103459	0.0313943275078357	0.0359141613813284	0.0342436002691067	0.018666236050647	0.015245566775781	0.0232006092515791	0.0117164446188218	0.0133499147238321	0.0162478687867709	0.0103729361289047	0.0471872547396798	0.0661494168287948	0.0973971656851396	0.0838695407632126	0.0609205667085168	0.0984139678267994	0.0885712094572229	0.0793806943592068	0.12696037728658	0.133876306756443	0.0870949477515115	0.121612729322681	0.113290089405994	0.0810865515941908	0.0915216825221721	0.0672934700349766	0.0900577363357451	0.118291434277944	0.144019110436475	0.130995332675766	0.142358818715158	0.054804918405983	0.176640578911493	0.0330758252636007	0.0255169917325912	0.0176889097830608	0.028846504416455	0.024701701388684	0.0455672998640793	0.0757122701400399	0.0653625250806599	0.0725272208770096	0.0883340805145658	0.0840173761551619	0.173001966739611	0.11102090927111	0.154760391322231
Bacteroides eggerthii	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35030518077057e-05	9.13145428120657e-05	0	0	0	0	0	6.12872824584197e-05	0	0.00162502688630017	3.72669828958383e-05	0	0	0	0	9.93602109275335e-05	0	0	0	0	0.000158612620973713	0	0	0	3.74776984709939e-05	0	0	0	0.00786420526541399	0.0266463672955334	0.0171091564176984	0.0115025395575238	0.0171916912326921	0.0216746184875715	0.0283537180451998	0.0113849276129853	0.000119942927920377	0	0	0	0	0	0	0	8.00323838973065e-05	0	0	0	0	8.48898008297445e-05	0	0	0	0.0234323117568583	0.0395533470196301	0.0752299450492771	0.0487255881531354
Bacteroides finegoldii	0	0	8.04104713213509e-05	0	4.44523996207928e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.58717824891987e-05	0	0	0	0	0	0	0	0	6.66240997050231e-05	6.01129162580365e-05	0	0	0	0	0	0	0	0	0.000284117493328746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000113186401106326	0.00015945320206707	0	0	0.0147168509032488	0.0338396519417698	0.0379853194873146	0.0331640128790974
Bacteroides fragilis Cluster1090	0	0	0	0	0	0	0	0.000125578408168098	0.000137030895028258	0.000147890494486641	0.177325564512213	0.176982804145962	0.174621039744894	0.161798578971683	0.174419908225327	0.166898050862833	0.036536111513846	0.0576126840679465	0.11979393936795	0.0278299168432888	0.0175710638808289	0.00270273695992793	0	0	0	0	0	0	0.0001490403163913	0.000134055430421302	8.08963170660937e-05	7.48396992010385e-05	0	0	6.84518894747641e-05	0.000322460642572312	0.000280526942537504	0.000784533154659473	0.00146167675427045	0.0013743524922274	0.000627180217875588	0.000134892028566278	0	0.000128126483407627	0	0	0.000119301070495219	0	0	0.00342260672553969	0.0042187016074809	0.00796202596261247	0.00742278768542653	0.0133937267851133	0.00131971709873939	0.00671239701828443	0.00151878789475718	0.00178738990703985	0.000344929991530648	0.000727902447891856	0.000324504835122043	0.000223583551333082	0	0	0	0	0.00444632336779457	0.00952716354668287	0.00560867699625	0.00363903761229914
Bacteroides fragilis Cluster1091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253941367385041	0.00114277558811545	8.07451296076496e-05	0.000135439954926443	0	0	0	0	0	0	0	0	0.000169942093900407	8.2142267369717e-05	0	0	7.49553969419878e-05	0	0	0	0	0	0	0	0	0	0	0	0.00902041372624714	0.00543317631266479	0.0138887227384613	0.0138221304021049	0.0136590633191853	0.00156034927628731	0.00879091704216121	0.00197175972301809	0.00769200134124113	0.000309937093839133	0.000365448965608257	0.000516257692239614	0.000570300072965543	0	0	0	0	0	0	0	0
Bacteroides intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.85796240401572e-05	0	0	0	0.000214505488604469	0	0.000154274704395586	0.000149067931583353	0.000150488838807159	0	0	0	0.000430560914019312	0	0.000424705664596992	0.00034301528800476	0	0	0.000365076743865409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000238121989253689	0	0	0	0	0	0.000330117886145136	0.00503065183386237	0.00456184588214647	0.00216855985979703	0.00460465696666404	0.00359315353798772	0.00155730804015477	0	0	0	0	0	0	0	0
Bacteroides ovatus	0.0170513003146253	0.0241173571147002	0.0109157214818734	0.0173550360732037	0.0163457823748458	0.0053614066772798	0	0	0.000123327805525432	0	0	0	0	0	0.000182629085624131	0	0	0	8.80125922914921e-05	0	6.12872824584197e-05	0.0204246306226132	0.00501392789285653	0.0315884263770849	0.0242832552520202	0.0156122214683979	0.0146683827208474	0.0014084283369032	0.00582499236562665	0.000785181806753342	0.00115909254296262	0.00574745502457975	0.000730330208382592	0.00931849148220567	0.0134080138508694	0.0108730530718598	0.0152135772229714	0.0149942025299368	0.028533498325701	0.023026432106617	0.00956669126042745	0.0122498823441751	0.0246014135263413	0.0225395838727916	0.0133199763275495	0.020172342026341	0.0195534454541665	0.0224700225502852	0.00486072407165141	0.00905317124857834	0.00335578536958708	0.0239932194632484	0.0192751480220914	0.0225453651310878	0.00436521809583029	0.00969917789293089	0.00952573109431036	0.00710287407088596	0.00264446326840163	0.00320142280322807	0.00257391335130893	0.00784486634459989	0.0149594693462194	0.0200113768594173	0.0212125151053169	0.0324836514641595	0	0	0	0
Bacteroides plebeius	0	7.29999458636404e-05	0	0	8.89047992415856e-05	0	0	0	0	0	0	0	0	0	0.000308186581990722	0	0.000159001836680427	0	0.000110015740364365	0	6.12872824584197e-05	0	0.0661724204298251	6.52172200677169e-05	0.000108351963941154	5.95886315587704e-05	0	0	0	0	0	7.79580200010817e-05	8.98867948778574e-05	0	0	0	8.01505550107154e-05	0.000646837314351228	0	0	0	0.137537411126494	0.142857578461945	0.0654109424922491	0.137751577408168	0.123100361200437	0.0713791560447398	0.111281119686151	0.110977821994335	0	0	4.92418351636356e-05	0	0	0.000241102162269696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides stercoris	0	0	0	0	0	6.29695415116755e-05	0	0.000146508142862781	0	0.000179581314733778	0	0	0	5.35030518077057e-05	0	0	0.000234318496160629	0	0	0	6.12872824584197e-05	0.0778103745831882	0.0092719097341747	0.042588708053364	0.0423836765616482	0.0353598939669744	0.0557015056262245	0.00966028986427873	0.048785863565419	0.00410209617089185	0.00647676138510412	0.0450254340318248	0.00326289065406622	0.0335730047727694	0.0326104801457776	0.000269457469918094	0	0	0	0	4.38587564947963e-05	0	0	0	0	0	0	0	0	0.000126998394268634	0	0	5.06099160369991e-05	0	8.45972499191916e-05	0	0.0607355285492896	0.0464507956139967	0.00338931209069245	0.00313806833091156	0.00386455758190797	0.034144124595753	0	0	0	0	0	0	0	0
Bacteroides thetaiotaomicron	0.0157084889504725	0.0279224792928425	0.0310062777415129	0.0417755813586939	0.0396604309416714	0.0123798118611954	0.000291937536720268	0	0	0	0	0	0	0	0	0	0.000117159248080314	0.0906289689634045	0.103203565721004	0.0499654231875155	0.0351482564899037	0.0177052979094226	0.00406256721575042	0.0126819542794538	0.00986905804897347	0.00696591102922027	0.0029432637224184	0.00283869277205297	0.0136322209392576	0.0014612041915922	0.00305788078509834	0.00958415897893299	0.001468150983005	0.0209500836869447	0.0369571751274252	0.00293146038702102	0.00275183572203456	0.00445359983496978	0.00300015754160602	0.0042797818836906	0.00905683321617545	0.00664343240688917	0.00528796126174926	0.00381532195036044	0.00309319450273094	0.00433924898902084	0.00327680273626869	0.00219302339727701	0.00220763824221998	0.00539425679656023	0.00215729059473455	0.013674836408289	0.0134166887414085	0.0146258112128912	0.00203371788805737	0.0091662733052966	0.00206235408867027	0.0035774475602096	0.00182962865072778	0.00244790897291039	0.0026255391205329	0.000851561699859913	0.00921903237011026	0.0104122940949797	0.00484820191391673	0.0171140282750216	0.00642246708681438	0.00790676482870198	0.00778322761132151	0.00757069886764915
Bacteroides uniformis	0.0455044771739748	0.061400254465908	0.0527492691868062	0.0540161796434196	0.059210596294896	0.0229146161560987	0.000291937536720268	0.00020929734694683	0.000102773171271194	0.000162679543935305	6.50473440124036e-05	0.000378587566965283	0.000261135097569754	0.000107006103615411	0.000334819990310908	0	7.81061653868762e-05	0	0	0	0.000122574564916839	0.0167190360012384	0.0274248999513886	0.0749439026035307	0.0759953587092271	0.0570263204017433	0.0577531617714933	0.00526686689707059	0.0291920299705094	0.00293581392622652	0.00443109576729528	0.0229430452863183	0.00202245288475179	0.0104023443921927	0.0841410625423801	0.0136552754755415	0.0143229041804148	0.0186289146533154	0.0241204665925013	0.0241114472320597	0.0216311387032336	0.0393682385370681	0.0686112973711966	0.166666929616641	0.0483663140427019	0.0631360727902533	0.0692614294867046	0.0344512121531693	0.00982835556423358	0.0608862051722398	0.0222121031606002	0.0407472398145611	0.0354977951083511	0.0491910861427418	0.00563756073461493	0.0384147180177556	0.0273701565876241	0.034525970413298	0.0418894979279741	0.0594831096677256	0.055502126981692	0.0253193790348759	0.135320001842668	0.106514738980803	0.105775390706697	0.104650161328004	0.0150649690478441	0.00936121909966074	0.0199630876137712	0.00964907705034371
Bacteroides xylanisolvens	0	0.0137239898223644	0.00641273508787773	0	0.00853486072719222	0	0	0	0	0	0	0	0.000161577341621285	5.35030518077057e-05	0	0	5.85796240401572e-05	0	0	0	0.000183861847375259	0.00510912118302165	0.00570816406263667	0.0068897334628681	0.00457674181022272	0.00381367241976131	0.00731821273000884	0.000858886531031412	0.00368874783068468	0.000703791009711837	0.00101929359503278	0.00360166052404997	0.000584264166706073	0.00467576788912093	0.00641491992792075	0.00479693517876167	0.0051095978819331	0.00697085191560487	0.0150227888633352	0.0124776739425909	0.00758756487359977	0.00949302651035179	0.0242296037501245	0.0185356312663033	0.0100787820878458	0.0161946971197385	0.0191358917074332	0.0194667870822478	0.00275393516317611	0.00999318614901314	0.00276852292990934	0.0205395270134473	0.014942577709924	0.0178496501018662	0.00362922202153332	0.0192018570441087	0.00325740035322921	0.0030545693187472	0.00119975649228051	0.00215674799375365	0.00336305010944663	0.00302566871097486	0.0121321673685843	0.0192739057998571	0.00803791149298391	0.0152222916785058	0	0	0.000297069756157309	0
