Species	158458797-stool1	158499257-stool1	158742018-stool1	158802708-stool1	158944319-stool1	159247771-stool1	159146620-stool1	159166850-stool1	159733294-stool1	158337416-stool1	158883629-stool1	159369152-stool1	159591683-stool1	159207311-stool1	159227541-stool1	159268001-stool1	159571453-stool1	763496533-stool1	763678604-stool1	763536994-stool1	763820215-stool1	763577454-stool1	763840445-stool1	763961826-stool1	763860675-stool1	764062976-stool1	763577454-stool2	763901136-stool1	763759525-stool1	764143897-stool1	763982056-stool1	764042746-stool1	764285508-stool1	764487809-stool1	764224817-stool1	763435843-stool1	764002286-stool1	764325968-stool1	764447348-stool1	764508039-stool1	764588959-stool1	764649650-stool1	764669880-stool1	765074482-stool1	159753524-stool1	159915365-stool1	160421117-stool1	159611913-stool1	159490532-stool1	159551223-stool1	159814214-stool1	159510762-stool1	159632143-stool1	160319967-stool1	160502038-stool1	160582958-stool1	160603188-stool1	160158126-stool1	160178356-stool1	160218816-stool1	765094712-stool1	765013792-stool1	765135172-stool1	763961826-stool2	763496533-stool2	765034022-stool1	765560005-stool1	763597684-stool1	765620695-stool1	763678604-stool2	764669880-stool2	764892411-stool1	160643649-stool1	160400887-stool1	160704339-stool1	160765029-stool1	158479027-stool1	158256496-stool1	158337416-stool2	638754422-stool1	158499257-stool2	158924089-stool1	246515023-stool1	158802708-stool2	159005010-stool1	159268001-stool2	159369152-stool2	159247771-stool2	159510762-stool2	159207311-stool2	158944319-stool2	159551223-stool2	159713063-stool1	159571453-stool2	159591683-stool2	159611913-stool2	764811490-stool1	764447348-stool2	550534656-stool1	763759525-stool2	159814214-stool2	604812005-stool1	604812005-stool2	404239096-stool1	765074482-stool2	764224817-stool2	861967750-stool1	764184357-stool1	823052294-stool1	686765762-stool1	765701615-stool1	159227541-stool2	763982056-stool2	763536994-stool2	765640925-stool1	763860675-stool2	764487809-stool2	764143897-stool2	159490532-stool2	706846339-stool1	508703490-stool1	675950834-stool1	338793263-stool1	737052003-stool1	638754422-stool2	764325968-stool2	765094712-stool2	246515023-stool2	763820215-stool2	160158126-stool2	763536994-stool3	809635352-stool1	763901136-stool2	763840445-stool2	764042746-stool2	686765762-stool2	764062976-stool2	159753524-stool2	159227541-stool3
Alistipes putredinis	0.0371039153305288	0.0403627326090807	0.0806047132278672	0.0309553507981942	0.0276383302868249	0	0	0.0117921784876355	0	0.0533082864768555	0	0.000485611221711227	0	0.0237003619278673	0.0212407006735759	0	0.0546632322204434	0.00842324475706017	0.0379211768269546	0.0607634946107436	0	0.0555149992859698	0.0721457556566182	0.154870521276844	0.0152705840238956	0.00576539442242552	0.0459047274624957	0.032614551511608	0.0231808852538921	0.00254118774421295	0.0454220708554764	0.0283633485220384	0	0.0653950112921856	0.0602058693686537	0.0978768099047972	0.000413730938774651	0.077765014536803	0.158061670385043	0.0204893928153623	0.0380662117190093	0.056600412570732	0.0135049167960288	0.0291392276286022	0.0057751991962981	0.000960855367111825	0	0.0523228235129689	0	0.0757770558231862	0.0151702960466884	0.0232480643616839	0.0147845527955897	0.0916300439930633	0	0.0134563289347703	0.0291461195891823	0.218056758866848	0	0.0320297651605217	0	0	0.0518895269422051	0.0832669372847826	0.0475643585435514	0.0774953554731155	0	0.03859624084912	0	0.0929356425246052	0.056072725440761	0.0385958288542512	0.112645510228344	0.0597253608126698	0.100207383461667	0	0.107937115487798	0.112472163374587	0.128725992488152	0.0545455530513508	0.058920514897705	0	0	0.0500872494328306	0.12853811327637	0	0.0443298925080893	0	0.0411512036687434	0.0342776847146823	0.0239410466559324	0.0443822046898469	0.034648446018405	0.0469932383183607	0	0.0607148549449558	0	0.0193530122252732	0	0.0652833095171246	0.0563036641936224	0.0822333671660246	0.0461665428071826	0.0738616853240149	0.0323729607125414	0.0258483483759077	0.0379616902030843	0.09817299519614	0.00461881440952748	0	0.000263335335360293	0.051681217200243	0.0737941691634216	0.0163582441847797	0	0.0774777639456736	0.0370189776635369	0.0331681451796234	0	0.0269797655098715	0.0911164624907465	0.0658441022688302	0	0	0.0626194073213174	0.0226472901234818	0	0	0	0.193644787546246	0.0726275345270385	0.0369106920424501	0.0387658273721572	0.0979600065664243	0.0248263979450099	0	0.0102955097075871	0.31542109199705	0.0153447956252506
Alistipes shahii	0.0269734376230733	0.0167242074196131	0.0200496722055242	0.00375387003767703	0.00210480981701135	0.0101737840409014	0	0.00135692733549955	0.104580214942692	0.0171146090028989	0	0	0	0.0113208004347379	0.00832609847639631	0	0.00750240324787003	0.0016686046756843	0.00701715615001473	0.00500260890322124	0.0217076124122037	0.0034426729149217	0.0110634249812321	0	0.00295574247507435	0.00194574578119241	0.00214536641126044	0.00855856053930134	0	0.00337677584459196	0.00476357905578101	0.00460475070085681	0	0.00999303210954027	0.0220423083524982	4.26515643649979e-05	0	0.00542009480828528	0.0430251571763259	0	9.78691649800985e-05	0.0179323038488263	0.00915099070612593	0.00495068627960141	0	0.000453622705503437	0.0165136518946083	0.024931558917231	0	0.0309243700062927	0	0.00082585120546424	0.0367625168429365	0.017363344040547	0	0.00897197810235678	0.0121408869411538	0.0380759032221737	0.0797929057516113	0.00515073250554336	0	0.0116181501720476	0.00484363529079143	0	0.0074569171655849	0.0165354250928432	0	0.0187918205302073	0.0120013936805394	0.0237069749845852	0.0476118203673952	0.0296447044517884	0.0584470629394047	0.00247133293233939	0.0422866080927667	0	0.019284530113651	0.0155911508196804	0.0832839720812867	0.0184310097162404	0.0227040702138727	0.0006575638028863	0	0.0155958766676423	0.0156623354860057	0	0	0.0197489262803219	0.00197257057138986	0.0145696101188025	0.0056846969224545	0.0190949312922324	0	0.00886231441992344	0	0.0185298052776302	0	0.0105212088829537	0	0	0	0.0300584278431045	0.033943711683933	0.0330230640141884	0.00646673821754376	0.007007710304778	0.0172581457184545	0	0.000585229895944028	0	0.0449385281109097	0.0254856940896184	0.00926189941739012	0.00760147682690891	0	0.0290212630606073	0.0102618908132233	0.0234744921573357	0.00758583666041562	0.0330986918303122	0.00688278387351329	0.0161003867874445	0	0	0.0126793999626613	0.00791894577608905	0	0	0.0112683323016461	0.0232733062285288	0.0228652019811994	0.00883401354811985	0.0108958503270366	0.0109562920725848	0.0199331951342616	0	0.00256944734526699	0	0.0027883697545548
Alistipes sp. HGB5	0.0305634632233151	0.0117425019128554	0.000496323717617849	0.0128305571583238	0.00360720854846428	0.0101840370527612	0	0.000977773041432314	0.0117675389114053	0.0154393482156586	0	0	0	0.00182250048633252	0.00129008778590316	0	0.000529581405732002	0.000114315464560102	0.00931622590970706	0.0114075663938684	0	0.00141250844597523	0	0.000904734967864205	0.00495887848222779	0.00466619772880421	0.00145062340243257	0.00673224501524858	0	0	0.0102426553689323	0.00421201267674213	0	0.000262031545678219	0.000356973840985162	0.000247379073316988	0.030993618950956	0.00210811727719237	0.0127862143588213	0.000742915451529162	0.00160505430567362	0.0199151484619191	0.00108082567395188	0.00846482051623232	0.00331974228551595	0	4.23789184634943e-05	0.000887099654496825	0.0338259942124712	0.000601709375088015	0.00268175077428461	0.00384550202339246	0.00430650122404439	0	0	4.91465629465679e-05	0.000258906145388361	0.000157555461608994	0	0.00391282536555562	0.00121268498544893	0.0565910478067097	0.00496754224009075	0.00339367253787562	0.00142405235261508	0.0158368159475833	0	0.0154613512565091	0.0113237310932982	0.0325393014924477	0.000886087513137952	0.00261259301473991	8.07465755552447e-05	0.00240821615600986	0.00945582248103156	0.000115178676377563	0.0212743862098069	0.00151653924703737	0.0605766952872007	0	0.00434285966100197	0.000113809119730321	0	0.0227049807261996	0.00150816830484757	0	0	0.0372426058717438	0.00178094943016913	0.00389445317543879	0.00489470864905096	0.000501119123106615	0.0189901531771496	0.000304679840903234	0	0.0036717506131562	0	0.00226807202919674	0	0	0.00315764250557568	0.00977485983569708	0.00721199315275677	0.0100492088876211	0.0028916723733023	0.000102229183507917	0.00162103094999071	0.00222625954754584	0.000886848380776719	0	7.56710733793945e-05	0.0106461077047048	0.0133225749698179	0	0	0.0157859420555476	8.7596346323184e-05	0	0.00179770862869613	0.00965012594543505	0.0373241399401715	0.0144804638330461	0	0.00304456998132529	0.000104452722804533	0.00354339268625002	0.000249591252063427	0	0	9.66291355021189e-05	0.00582076676718519	0	0.0201367065481075	0	0.00482250549236558	0	0.00621540452656826	0.0562668411083467	0.00222193382844469
Anaerococcus lactolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.37645208770088e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.01061921314475e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus vaginalis	0	0	0	0	0	0	0	0	0	3.62001130496099e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.37645208770088e-05	0	0	0	0	0	4.26515643649979e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121959276245267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75250152741814e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerofustis stercorihominis	0	0	0	0	0	0	0	0	0	6.33501978368173e-05	0	0	0	0	0	0	0	0	0	0.000121357089296472	0	0	0	0	0	0	0	0	0	0.000143431012816406	0	0	0	0	0	0	0	0	0	0	4.89345824900493e-05	3.39269990833376e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4437013049876e-05	0	0	0	0	0	0	0	0	0	0	9.09092550855846e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104452722804533	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerostipes caccae	0	0	0	0	0	5.392817926268e-05	0	0	0	0	6.50316161547876e-05	3.49360591159156e-05	0	0	0	5.43024666712737e-05	0	0	0	0	0	0	0	0	0	0	0	0	5.70446840699805e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.17093813943294e-05	0	0	0	0	0	0	0	0	0	6.09796381226337e-05	0	0	0	0	5.41043330414218e-05	0	0	0	0	0	0	0	0	0	0	4.61503913092683e-05	0	0	4.0003590631393e-05	0	0	0	0	0	0	0	0	0	0	0	0	3.24380890590438e-05	0	0	0	0	0	0	0	0	0	0.00015386395491573	0	0	8.7610123774443e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.82452617009223e-05	0	0	0	0	0	5.51168427797908e-05	3.22097118340396e-05	0	0	0	0	3.87973088685888e-05	0	0	0	0
Anaerotruncus colihominis	0	0	4.06346903312859e-05	0	0	0	4.66075475818673e-05	0	4.52946070492892e-05	5.17144472137284e-05	0	0	2.79931143159475e-05	0	0	5.43024666712737e-05	4.01198034645456e-05	0	0	0.00030339272324118	0	0.00045564788579846	0	5.02630537702336e-05	5.22170426349013e-05	8.75585601536586e-05	0.000285122530822954	7.62140945122481e-05	3.11152822199894e-05	0.000200803417942968	0.000151262843001111	3.07895663504542e-05	5.33104169344507e-05	0	0.000126428235348912	0	0.000103432734693663	0	3.08473205279163e-05	0	0	0	0	2.84340628694401e-05	5.90964358792336e-05	0	0	0	3.96832405120498e-05	0	3.7559534653846e-05	0	0	0.000133001486331267	0.00321484652182525	0	0	0	0	6.92535462930199e-05	9.55810825969597e-05	3.03232853110862e-05	0	7.07015112057421e-05	0	5.02596507381253e-05	0	0	0.000734581948768586	5.37573128902159e-05	4.61503913092683e-05	0	0	6.85775839395309e-05	0.000182511279505205	9.21429411020502e-05	0	9.7144862799547e-05	5.76803192559893e-05	0.000164502461583439	3.76657386036598e-05	3.79363732434404e-05	0	4.42505958413557e-05	0	0	0	0	4.5087327346054e-05	0	4.25997271457873e-05	0	9.67158297792185e-05	7.25428192626748e-05	3.99855924928637e-05	0	0.000170959949906366	0	9.90880903740006e-05	9.76227093486651e-05	0	0	0	6.6698289077131e-05	0	0	6.79677547165916e-05	0	0	0	4.54026440276367e-05	0	0	6.69733641137349e-05	6.33565876862527e-05	0	3.80853679666017e-05	0.000144346256122748	0	5.34041280876317e-05	0.000137156925015663	9.88427565395635e-05	7.23678925513834e-05	0	6.5282951752833e-05	0	4.99182504126855e-05	0	0	0.000139575417947505	0	0	4.63872530479325e-05	0	0	0	4.43008162977068e-05	8.3851632410463e-05	4.63869275249413e-05
Atopobium vaginae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.45439557673827e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.01061921314475e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides caccae	0.0306235634829413	0.0136249164548329	0	0.0155218260296539	0.00295963679250255	0	0.000385289060010103	0.000331596390668701	0	0.0818086354808134	0	0	0	0.00855388159293999	0.00582013599235273	0.0634931591553868	0.0001103294595275	0.00365274677401403	0.0262604387306801	0.0242228750235758	0.0647759359244547	0.0046640623865759	0.0139264682194692	0.0452417746985873	0.00394851093998482	0.00210140544368781	0.00329586083387937	0	0	0	0.0140410334265158	0	0	0.00579291278676308	0.0153242589839579	0.000341212514919983	0	0.0205565947517851	0.0105929698692865	0.00233103181530527	0.00220694967030122	0.0658726614202082	0	0.0186527452423527	0	0.000824768555460794	0	0.00292221062657778	0.00533342752481949	0.0478761370292961	0.0592764575906998	0	0	0.012408299777561	0	0.00845812348310433	0.016291908926475	0.0115847029688613	0	0.0370376622268357	0	0	0.000121654095675692	0.0212157559750631	0.0173815184315643	0.256143284021782	0.0383905149049363	0.00545026281256181	0.269488475977191	0.0125469568285764	0.000323052739164878	0.0656946979433414	0	0.00548849263462712	0.0100337748661314	0	0.013473421398837	0.00233687364401132	0.0124012686400377	0.00671516364232185	0.00236540838430983	0	0.000546197643885278	0.0287761624756336	0.0481421992021556	0.014299346623811	0	0	0	0.0159932852061064	0.0194207422754628	0.021636555080015	0	3.62714096313374e-05	0	0.00821203797961217	0	0.00125352688691192	0.0352014945057745	0	0.0296124324345352	0.012499743542791	0.0135958868829632	0	0.00592563338719566	0.013523651465361	0.0242135126177858	0	0.00297566893245386	0	0	0.0113997478685287	0.011991357486495	0.0170145831530943	0.0142890224095062	0.0157264746672514	0.00287544528147843	0.0267463406294513	0.00237539926668163	0.00619487885816528	0.000448877209142171	0.0154837178119226	0	0	0.00290726745139283	0.0393889257698802	0	0.000108779746827297	0.108866787858643	0.0249696843851216	0.0941675407671303	0	0	0.0263429029187214	0.0200038924526444	0	0.0187835461102277	0	0.0116018859842936
Bacteroides clarus	0	0	0	0.000886851796401199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0935076331819471	0.000125109876625537	0	0	0	0	0	0.000981131210334597	0	0	0	0	0	0	0.000172604096925574	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0613061798152321	0	0	0	0	0	0.004880951017467	0.00163527185712571	0	0	0	0	0	0.00108413959811322	0	0	0	0	0	0	0	0.00161758305179268	0	0	0	0	0	0	0	0	0	0	0	0	0.00154222526576123	0	0.00156495755234952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides coprocola	0	0	0.0483843062730383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0209996719367365	0	0	5.41510071769346e-05	0	0.0175125259721257	0	0	0	0	3.07895663504542e-05	0	0.106320307472574	0.0260516534368963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.02596507381253e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01211936168785e-05	0	0	0	0	0	0	0	0.0099775683103727	0	0	0	0	0	0	0	0	0	0	0.16446023595338	0	0	0	7.48128681903619e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43008162977068e-05	0	0
Bacteroides coprophilus	0	0	0	0	0	0	0	0.00310609829627695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.34041280876317e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
